所属朝代,姓名,姓名-简体,登科朝代,登科年份,登科年号,登科年号年份,登科年龄,科考成绩,字,字-简体,别号,别号-简体,别名_曾用名,别名_曾用名-简体
清,葉芾棠,叶芾棠,清,1905,光緒,31,,第2甲第17名,,,,,,
中华民国,景潤,景润,清,1904,光緒,30,,,,,,,,
清,黃瑞麒,黄瑞麒,清,1904,光緒,30,,,,,笥腴,笥腴,,
清,陳毅,陈毅,清,1904,光緒,30,,,,,,,,
中华民国,王賡,王赓,清,1904,光緒,30,,,王志洋,王志洋,一堂/什公/慎吾,一堂/什公/慎吾,今傳是樓主人/揖唐/逸塘,今传是楼主人/揖唐/逸塘
中华民国,龍建章,龙建章,清,1904,光緒,30,,第2甲第32名,,,,,,
中华民国,關賡麟,关赓麟,清,1904,光緒,30,,第2甲第101名,,,,,,
中华民国,麥鴻鈞,麦鸿钧,清,1904,光緒,30,,第2甲第7名,,,,,,
中华民国,李鳳書,李凤书,清,1904,光緒,30,,第3甲第92名,,,,,,
中华民国,張其鍠,张其锽,清,1904,光緒,30,,第2甲第118名,,,子午/子武,子午/子武,無竟/獨志堂/鍠言/默嗇泊孤徂齋,无竟/独志堂/锽言/默啬泊孤徂斋
清,陸光熙,陆光熙,清,1904,光緒,30,,第3甲第62名,陸惠熙,陆惠熙,亮臣,亮臣,,
清,瓜爾佳金梁,瓜尔佳金梁,清,1904,光緒,30,,,,,息侯/錫侯,息侯/锡侯,一息老人/小肅/瓜圃,一息老人/小肃/瓜圃
清,童錫燾,童锡焘,清,1904,光緒,30,,第2甲第53名,,,,,,
清,方貞,方贞,清,1904,光緒,30,,第3甲第15名,,,,,,
清,方兆鼇,方兆鼇,清,1904,光緒,30,,第2甲第50名,,,,,,
清,商衍鎏,商衍鎏,清,1904,光緒,30,,第1甲第3名,,,,,,
清,高仕坊,高仕坊,清,1904,光緒,30,,第2甲第112名,,,,,,
清,唐尚光,唐尚光,清,1904,光緒,30,,第2甲第44名,,,,,,
清,章祖申,章祖申,清,1904,光緒,30,,第2甲第105名,,,,,,
清,章圭瑑,章圭瑑,清,1904,光緒,30,,第3甲第88名,,,,,,
清,章梫,章梫,清,1904,光緒,30,,第3甲第52名,,,,,,
清,章錫光,章锡光,清,1904,光緒,30,,第3甲第148名,,,,,,
清,顏楷,颜楷,清,1904,光緒,30,,第2甲第3名,,,,,,
清,譚延闓,谭延闿,清,1904,光緒,30,,第2甲第35名,,,,,,
清,譚肇松,谭肇松,清,1904,光緒,30,,第2甲第49名,,,,,,
清,龔福燾,龚福焘,清,1904,光緒,30,,第2甲第82名,,,,,,
清,龔錫樞,龚锡枢,清,1904,光緒,30,,第3甲第172名,,,,,,
清,謝鑾坡,谢銮坡,清,1904,光緒,30,,第2甲第83名,,,,,,
清,謝啟中,谢启中,清,1904,光緒,30,,第2甲第31名,,,,,,
清,謝桓武,谢桓武,清,1904,光緒,30,,第3甲第60名,,,,,,
清,郭壽清,郭寿清,清,1904,光緒,30,,第2甲第29名,,,,,,
清,郭輔唐,郭辅唐,清,1904,光緒,30,,第3甲第142名,,,,,,
清,郭鍾美,郭钟美,清,1904,光緒,30,,第3甲第51名,,,,,,
清,施堯章,施尧章,清,1904,光緒,30,,第2甲第59名,,,,,,
清,許承堯,许承尧,清,1904,光緒,30,,第2甲第40名,,,,,,
清,許業芴,许业芴,清,1904,光緒,30,,第2甲第114名,,,,,,
清,許樹聲,许树声,清,1904,光緒,30,,第3甲第129名,,,,,,
清,王慶麟,王庆麟,清,1904,光緒,30,,第2甲第34名,,,,,,
清,王文煥,王文焕,清,1904,光緒,30,,第3甲第127名,,,,,,
清,王言綍,王言綍,清,1904,光緒,30,,第3甲第107名,,,,,,
清,王元璐,王元璐,清,1904,光緒,30,,第3甲第95名,,,,,,
清,王引昌,王引昌,清,1904,光緒,30,,第2甲第115名,,,,,,
清,王承佐,王承佐,清,1904,光緒,30,,第3甲第149名,,,,,,
清,王季烈,王季烈,清,1904,光緒,30,,第2甲第110名,,,,,,
清,王寶璜,王宝璜,清,1904,光緒,30,,第3甲第67名,,,,,,
清,王鴻詵,王鸿诜,清,1904,光緒,30,,第3甲第37名,,,,,,
清,王樹忠,王树忠,清,1904,光緒,30,,第3甲第78名,,,,,,
清,王枚,王枚,清,1904,光緒,30,,第2甲第39名,,,,,,
清,王慧憫,王慧悯,清,1904,光緒,30,,第3甲第43名,,,,,,
清,王景崧,王景崧,清,1904,光緒,30,,第3甲第144名,,,,,,
清,王烜,王烜,清,1904,光緒,30,,第3甲第42名,,,,,,
清,王炳震,王炳震,清,1904,光緒,30,,第2甲第90名,,,,,,
清,王慎賢,王慎贤,清,1904,光緒,30,,第3甲第145名,,,,,,
清,聶傳曾,聂传曾,清,1904,光緒,30,,第3甲第29名,,,,,,
清,夏和清,夏和清,清,1904,光緒,30,,第3甲第116名,,,,,,
清,夏道煇,夏道𪸩,清,1904,光緒,30,,第3甲第143名,,,,,,
清,覃壽堃,覃寿堃,清,1904,光緒,30,,第3甲第57名,,,,,,
清,雷延壽,雷延寿,清,1904,光緒,30,,第2甲第97名,,,,,,
清,雷多壽,雷多寿,清,1904,光緒,30,,第2甲第111名,,,,,,
清,雷恆,雷恒,清,1904,光緒,30,,第3甲第46名,,,,,,
清,雲書,云书,清,1904,光緒,30,,第3甲第73名,,,,,,
清,賈景德,贾景德,清,1904,光緒,30,,第3甲第40名,,,,,,
清,張應濟,张应济,清,1904,光緒,30,,第3甲第118名,,,,,,
清,張詒,张诒,清,1904,光緒,30,,第2甲第104名,,,,,,
清,張雲翼,张云翼,清,1904,光緒,30,,第3甲第11名,,,,,,
清,張琴,张琴,清,1904,光緒,30,,第2甲第86名,,,,,,
清,張廷棟,张廷栋,清,1904,光緒,30,,第3甲第111名,,,,,,
清,張稱達,张称达,清,1904,光緒,30,,第3甲第141名,,,,,,
清,張俊英,张俊英,清,1904,光緒,30,,第3甲第63名,,,,,,
清,張名振,张名振,清,1904,光緒,30,,第2甲第120名,,,,,,
清,張鴻,张鸿,清,1904,光緒,30,,第3甲第1名,,,,,,
清,張肇基,张肇基,清,1904,光緒,30,,第3甲第128名,,,,,,
清,張肇銓,张肇铨,清,1904,光緒,30,,第3甲第82名,,,,,,
清,張啟後,张启后,清,1904,光緒,30,,第2甲第1名,,,,,,
清,張茂炯,张茂炯,清,1904,光緒,30,,第2甲第6名,,,,,,
清,張世畸,张世畸,清,1904,光緒,30,,第2甲第87名,,,,,,
清,張朝輔,张朝辅,清,1904,光緒,30,,第3甲第20名,,,,,,
清,張成修,张成修,清,1904,光緒,30,,第2甲第85名,葛成修,葛成修,,,,
清,張成棟,张成栋,清,1904,光緒,30,,第2甲第20名,,,,,,
清,張國溶,张国溶,清,1904,光緒,30,,第2甲第95名,,,,,,
清,張恩壽,张恩寿,清,1904,光緒,30,,第2甲第56名,,,,,,
清,張則川,张则川,清,1904,光緒,30,,第3甲第16名,,,,,,
清,張履謙,张履谦,清,1904,光緒,30,,第3甲第49名,,,,,,
清,張又栻,张又栻,清,1904,光緒,30,,第3甲第45名,,,,,,
清,張學寬,张学宽,清,1904,光緒,30,,第3甲第124名,,,,,,
清,張介孚,张介孚,清,1904,光緒,30,,第2甲第119名,,,,,,
清,孫鸞,孙鸾,清,1904,光緒,30,,第3甲第76名,,,,,,
清,孫家鈺,孙家钰,清,1904,光緒,30,,第3甲第47名,,,,,,
清,孟應奚,孟应奚,清,1904,光緒,30,,第3甲第91名,,,,,,
清,鄧隆,邓隆,清,1904,光緒,30,,第3甲第61名,,,,,,
清,邢端,邢端,清,1904,光緒,30,,第3甲第138名,,,,,,
清,邵孔亮,邵孔亮,清,1904,光緒,30,,第3甲第19名,,,,,,
清,邵從煾,邵从煾,清,1904,光緒,30,,第3甲第35名,,,,,,
清,喬海峯,乔海峰,清,1904,光緒,30,,第3甲第135名,,,,,,
清,季龍圖,季龙图,清,1904,光緒,30,,第2甲第52名,,,,,,
清,何震彝,何震彝,清,1904,光緒,30,,第3甲第28名,,,,,,
清,何振清,何振清,清,1904,光緒,30,,第2甲第103名,,,,,,
清,何景崧,何景崧,清,1904,光緒,30,,第2甲第15名,,,,,,
清,何毓璋,何毓璋,清,1904,光緒,30,,第2甲第54名,,,,,,
清,熊坤,熊坤,清,1904,光緒,30,,第2甲第16名,,,,,,
清,熊範興,熊范兴,清,1904,光緒,30,,第3甲第39名,,,,,,
清,岑光樾,岑光樾,清,1904,光緒,30,,第2甲第24名,,,,,,
清,任嘉莪,任嘉莪,清,1904,光緒,30,,第3甲第77名,,,,,,
清,崔炳炎,崔炳炎,清,1904,光緒,30,,第3甲第74名,,,,,,
清,欒守綱,栾守纲,清,1904,光緒,30,,第3甲第58名,,,,,,
清,傅增濬,傅增濬,清,1904,光緒,30,,第2甲第92名,,,,,,
清,仲延仕,仲延仕,清,1904,光緒,30,,第3甲第96名,,,,,,
清,朱文劭,朱文劭,清,1904,光緒,30,,第2甲第4名,,,,,,
清,朱秉筠,朱秉筠,清,1904,光緒,30,,第3甲第31名,,,,,,
清,朱崇年,朱崇年,清,1904,光緒,30,,第3甲第72名,,,,,,
清,朱汝珍,朱汝珍,清,1904,光緒,30,,第1甲第2名,,,,,,
清,朱澤年,朱泽年,清,1904,光緒,30,,第3甲第36名,,,,,,
清,朱大璵,朱大玙,清,1904,光緒,30,,第3甲第89名,,,,,,
清,朱振瀛,朱振瀛,清,1904,光緒,30,,第2甲第43名,,,,,,
清,朱點衣,朱点衣,清,1904,光緒,30,,第2甲第58名,,,,,,
清,白葆端,白葆端,清,1904,光緒,30,,第3甲第6名,,,,,,
清,吳夔,吴夔,清,1904,光緒,30,,第2甲第106名,,,,,,
清,吳琨,吴琨,清,1904,光緒,30,,第2甲第71名,,,,,,
清,吳德鎮,吴德镇,清,1904,光緒,30,,第2甲第46名,,,,,,
清,吳兆梅,吴兆梅,清,1904,光緒,30,,第3甲第53名,,,,,,
清,程天錫,程天锡,清,1904,光緒,30,,第3甲第106名,,,,,,
清,程叔琳,程叔琳,清,1904,光緒,30,,第3甲第44名,,,,,,
清,程宗伊,程宗伊,清,1904,光緒,30,,第2甲第77名,,,,,,
清,程鎮瀛,程镇瀛,清,1904,光緒,30,,第3甲第83名,,,,,,
清,徐潞,徐潞,清,1904,光緒,30,,第2甲第12名,,,,,,
清,徐培,徐培,清,1904,光緒,30,,第3甲第112名,,,,,,
清,徐金銘,徐金铭,清,1904,光緒,30,,第2甲第84名,,,,,,
清,徐鍾恂,徐钟恂,清,1904,光緒,30,,第2甲第68名,,,,,,
清,宮炳炎,宫炳炎,清,1904,光緒,30,,第3甲第56名,,,,,,
清,賓光椿,宾光椿,清,1904,光緒,30,,第3甲第109名,,,,,,
清,賽沙敦,赛沙敦,清,1904,光緒,30,,第3甲第101名,,,,,,
清,宋育德,宋育德,清,1904,光緒,30,,第2甲第17名,,,,,,
清,宋名璋,宋名璋,清,1904,光緒,30,,第2甲第116名,,,,,,
清,江孔殷,江孔殷,清,1904,光緒,30,,第2甲第27名,,,,,,
清,江紹傑,江绍杰,清,1904,光緒,30,,第3甲第136名,,,,,,
清,汪士元,汪士元,清,1904,光緒,30,,第2甲第66名,,,,,,
清,馮汝琪,冯汝琪,清,1904,光緒,30,,第3甲第81名,,,,,,
清,馮巽占,冯巽占,清,1904,光緒,30,,第3甲第65名,,,,,,
清,顧顯曾,顾显曾,清,1904,光緒,30,,第3甲第13名,,,,,,
清,濮文波,濮文波,清,1904,光緒,30,,第2甲第81名,,,,,,
清,潘浩,潘浩,清,1904,光緒,30,,第2甲第33名,,,,,,
清,潘嗚球,潘呜球,清,1904,光緒,30,,第2甲第67名,,,,,,
清,梁禹甸,梁禹甸,清,1904,光緒,30,,第2甲第72名,,,,,,
清,梁成哲,梁成哲,清,1904,光緒,30,,第3甲第12名,,,,,,
清,梁善濟,梁善济,清,1904,光緒,30,,第3甲第120名,,,,,,
清,沈秉乾,沈秉乾,清,1904,光緒,30,,第2甲第88名,,,,,,
清,沈鈞儒,沈钧儒,清,1904,光緒,30,,第2甲第75名,,,,,,
清,湯化龍,汤化龙,清,1904,光緒,30,,第2甲第108名,,,,,,
清,李應壽,李应寿,清,1904,光緒,30,,第3甲第87名,,,,,,
清,李言藹,李言蔼,清,1904,光緒,30,,第2甲第64名,,,,,,
清,李延真,李延真,清,1904,光緒,30,,第3甲第24名,,,,,,
清,李維漢,李维汉,清,1904,光緒,30,,第3甲第110名,,,,,,
清,李維第,李维第,清,1904,光緒,30,,第3甲第100名,,,,,,
清,李德鑑,李德鉴,清,1904,光緒,30,,第3甲第104名,,,,,,
清,李湛田,李湛田,清,1904,光緒,30,,第2甲第61名,,,,,,
清,李凝,李凝,清,1904,光緒,30,,第3甲第119名,,,,,,
清,李壽祺,李寿祺,清,1904,光緒,30,,第3甲第125名,,,,,,
清,李翹燊,李翘燊,清,1904,光緒,30,,第2甲第38名,,,,,,
清,李盛和,李盛和,清,1904,光緒,30,,第2甲第42名,,,,,,
清,李景綱,李景纲,清,1904,光緒,30,,第2甲第63名,,,,,,
清,李景濂,李景濂,清,1904,光緒,30,,第3甲第150名,,,,,,
清,李景銘,李景铭,清,1904,光緒,30,,第2甲第109名,,,,,,
清,李臣淑,李臣淑,清,1904,光緒,30,,第3甲第94名,,,,,,
清,李熙仁,李熙仁,清,1904,光緒,30,,第3甲第93名,,,,,,
清,李榘,李矩,清,1904,光緒,30,,第2甲第62名,,,,,,
清,韋延秩,韦延秩,清,1904,光緒,30,,第3甲第108名,,,,,,
清,彭守正,彭守正,清,1904,光緒,30,,第3甲第64名,,,,,,
清,彭運斌,彭运斌,清,1904,光緒,30,,第3甲第32名,,,,,,
清,姚華,姚华,清,1904,光緒,30,,第3甲第9名,,,,,,
清,戴寶煇,戴宝𪸩,清,1904,光緒,30,,第2甲第102名,,,,,,
清,董繩燾,董绳焘,清,1904,光緒,30,,第3甲第18名,,,,,,
清,董鏞,董镛,清,1904,光緒,30,,第3甲第133名,,,,,,
清,范家駒,范家驹,清,1904,光緒,30,,第3甲第114名,,,,,,
清,蒲殿俊,蒲殿俊,清,1904,光緒,30,,第2甲第41名,,,,,,
清,莊陔蘭,庄陔兰,清,1904,光緒,30,,第2甲第14名,,,,,,
清,蔣尊禕,蒋尊祎,清,1904,光緒,30,,第2甲第48名,,,,,,
清,蘇源泉,苏源泉,清,1904,光緒,30,,第2甲第49名,,,,,,
清,蘇兆奎,苏兆奎,清,1904,光緒,30,,第3甲第140名,,,,,,
清,蘇輿,苏舆,清,1904,光緒,30,,第2甲第94名,,,,,,
清,萬寶成,万宝成,清,1904,光緒,30,,第3甲第146名,,,,,,
清,莫以增,莫以增,清,1904,光緒,30,,第2甲第22名,,,,,,
清,茹欲可,茹欲可,清,1904,光緒,30,,第3甲第134名,,,,,,
清,黃為某,黄为某,清,1904,光緒,30,,第3甲第80名,,,,,,
清,葉先圻,叶先圻,清,1904,光緒,30,,第2甲第36名,,,,,,
清,葉湘,叶湘,清,1904,光緒,30,,第3甲第90名,,,,,,
清,葉大章,叶大章,清,1904,光緒,30,,第3甲第84名,,,,,,
清,葉大華,叶大华,清,1904,光緒,30,,第3甲第38名,,,,,,
清,杜嚴,杜严,清,1904,光緒,30,,第2甲第19名,,,,,,
清,林志烜,林志烜,清,1904,光緒,30,,第2甲第13名,,,,,,
清,林基逵,林基逵,清,1904,光緒,30,,第3甲第75名,,,,,,
清,林蒼,林苍,清,1904,光緒,30,,第3甲第137名,,,,,,
清,林世燾,林世焘,清,1904,光緒,30,,第2甲第2名,,,,,,
清,林乾,林乾,清,1904,光緒,30,,第2甲第25名,,,,,,
清,林振先,林振先,清,1904,光緒,30,,第3甲第132名,,,,,,
清,樓思誥,楼思诰,清,1904,光緒,30,,第2甲第23名,,,,,,
清,賀維翰,贺维翰,清,1904,光緒,30,,第2甲第10名,,,,,,
清,楊靖恭,杨靖恭,清,1904,光緒,30,,第3甲第147名,,,,,,
清,楊濟時,杨济时,清,1904,光緒,30,,第3甲第70名,,,,,,
清,楊灝生,杨灏生,清,1904,光緒,30,,第3甲第86名,,,,,,
清,楊大芳,杨大芳,清,1904,光緒,30,,第3甲第105名,,,,,,
清,楊巨川,杨巨川,清,1904,光緒,30,,第2甲第107名,,,,,,
清,楊毓泗,杨毓泗,清,1904,光緒,30,,第2甲第37名,,,,,,
清,楊光瓚,杨光瓒,清,1904,光緒,30,,第3甲第48名,,,,,,
清,胡家鈺,胡家钰,清,1904,光緒,30,,第2甲第113名,,,,,,
清,增春,增春,清,1904,光緒,30,,第3甲第130名,,,,,,
清,趙錄績,赵录绩,清,1904,光緒,30,,第3甲第71名,,,,,,
清,史之選,史之选,清,1904,光緒,30,,第3甲第115名,,,,,,
清,曲卓新,曲卓新,清,1904,光緒,30,,第3甲第17名,,,,,,
清,曹元鼎,曹元鼎,清,1904,光緒,30,,第3甲第79名,,,,,,
清,田明理,田明理,清,1904,光緒,30,,第3甲第113名,,,,,,
清,田明德,田明德,清,1904,光緒,30,,第2甲第91名,,,,,,
清,畢太昌,毕太昌,清,1904,光緒,30,,第3甲第25名,,,,,,
清,呂祖翼,吕祖翼,清,1904,光緒,30,,第2甲第30名,,,,,,
清,果晟,果晟,清,1904,光緒,30,,第3甲第30名,,,,,,
清,單志覺,单志觉,清,1904,光緒,30,,第2甲第100名,,,,,,
清,馬步瀛,马步瀛,清,1904,光緒,30,,第2甲第51名,,,,,,
清,馬蔭榮,马荫荣,清,1904,光緒,30,,第2甲第98名,,,,,,
清,劉敦謹,刘敦谨,清,1904,光緒,30,,第2甲第73名,,,,,,
清,劉緜訓,刘緜训,清,1904,光緒,30,,第3甲第102名,,,,,,
清,劉紹曾,刘绍曾,清,1904,光緒,30,,第3甲第98名,,,,,,
清,劉遠駒,刘远驹,清,1904,光緒,30,,第3甲第22名,,,,,,
清,劉啟瑞,刘启瑞,清,1904,光緒,30,,第3甲第5名,,,,,,
清,劉穀孫,刘谷孙,清,1904,光緒,30,,第2甲第28名,,,,,,
清,劉春霖,刘春霖,清,1904,光緒,30,,第1甲第1名,,,,,,
清,劉鍾俊,刘钟俊,清,1904,光緒,30,,第2甲第78名,,,,,,
清,劉光簣,刘光篑,清,1904,光緒,30,,第3甲第85名,,,,,,
清,隨勤禮,随勤礼,清,1904,光緒,30,,第3甲第8名,,,,,,
清,陳度,陈度,清,1904,光緒,30,,第2甲第76名,,,,,,
清,陳賡虞,陈赓虞,清,1904,光緒,30,,第3甲第3名,,,,,,
清,陳正學,陈正学,清,1904,光緒,30,,第3甲第4名,,,,,,
清,陳震,陈震,清,1904,光緒,30,,第2甲第18名,,,,,,
清,陳蜚聲,陈蜚声,清,1904,光緒,30,,第2甲第55名,,,,,,
清,陳繼舜,陈继舜,清,1904,光緒,30,,第2甲第74名,,,,,,
清,陳之鼐,陈之鼐,清,1904,光緒,30,,第2甲第45名,,,,,,
清,陳宗蕃,陈宗蕃,清,1904,光緒,30,,第3甲第26名,,,,,,
清,陳兆槐,陈兆槐,清,1904,光緒,30,,第3甲第54名,,,,,,
清,陳迪吉,陈迪吉,清,1904,光緒,30,,第3甲第199名,,,,,,
清,陳啟煇,陈启𪸩,清,1904,光緒,30,,第2甲第93名,,,,,,
清,陳世昌,陈世昌,清,1904,光緒,30,,第2甲第115名,,,,,,
清,陳國華,陈国华,清,1904,光緒,30,,第2甲第69名,,,,,,
清,陳熙朝,陈熙朝,清,1904,光緒,30,,第3甲第41名,,,,,,
清,陳金華,陈金华,清,1904,光緒,30,,第3甲第121名,,,,,,
清,陳煥章,陈焕章,清,1904,光緒,30,,第3甲第131名,,,,,,
清,陳敉功,陈敉功,清,1904,光緒,30,,第3甲第7名,,,,,,
清,邱景章,邱景章,清,1904,光緒,30,,第3甲第50名,,,,,,
清,周之楨,周之桢,清,1904,光緒,30,,第3甲第14名,,,,,,
清,周安康,周安康,清,1904,光緒,30,,第3甲第97名,,,,,,
清,周觀濤,周观涛,清,1904,光緒,30,,第3甲第34名,,,,,,
清,閔道,闵道,清,1904,光緒,30,,第3甲第69名,,,,,,
清,段維,段维,清,1904,光緒,30,,第3甲第122名,,,,,,
清,段國垣,段国垣,清,1904,光緒,30,,第2甲第96名,,,,,,
清,閻祖訓,阎祖训,清,1904,光緒,30,,第2甲第99名,,,,,,
清,閻士璘,阎士璘,清,1904,光緒,30,,第2甲第60名,,,,,,
清,歐陽鼐,欧阳鼐,清,1904,光緒,30,,第2甲第117名,,,,,,
清,歐陽紹祁,欧阳绍祁,清,1904,光緒,30,,第3甲第27名,,,,,,
清,金梁,金梁,清,1904,光緒,30,,第3甲第139名,,,,,,
清,翁兆麟,翁兆麟,清,1904,光緒,30,,第2甲第8名,,,,,,
清,姜迺升,姜迺升,清,1904,光緒,30,,第3甲第55名,,,,,,
清,谷芝瑞,谷芝瑞,清,1904,光緒,30,,第2甲第21名,,,,,,
清,余維翰,余维翰,清,1904,光緒,30,,第3甲第126名,,,,,,
清,鍾剛中,钟刚中,清,1904,光緒,30,,第2甲第89名,,,,,,
清,錢崇威,钱崇威,清,1904,光緒,30,,第2甲第57名,,,,,,
清,錢淦,钱淦,清,1904,光緒,30,,第2甲第80名,,,,,,
清,錢昌頤,钱昌颐,清,1904,光緒,30,,第3甲第59名,,,,,,
清,饒孟仁,饶孟仁,清,1904,光緒,30,,第3甲第117名,,,,,,
清,鄭言,郑言,清,1904,光緒,30,,第2甲第9名,,,,,,
清,鄭元楨,郑元桢,清,1904,光緒,30,,第3甲第33名,,,,,,
清,鄭猷宣,郑猷宣,清,1904,光緒,30,,第3甲第123名,,,,,,
清,舒元璋,舒元璋,清,1904,光緒,30,,第2甲第79名,,,,,,
清,舒偉俊,舒伟俊,清,1904,光緒,30,,第3甲第21名,,,,,,
清,舒嘉猷,舒嘉猷,清,1904,光緒,30,,第3甲第10名,,,,,,
清,竺麐祥,竺麐祥,清,1904,光緒,30,,第3甲第2名,,,,,,
清,尚崇基,尚崇基,清,1904,光緒,30,,第3甲第66名,,,,,,
清,忻江明,忻江明,清,1904,光緒,30,,第3甲第68名,,,,,,
清,榮濬,荣濬,清,1904,光緒,30,,第3甲第103名,,,,,,
清,高振霄,高振霄,清,1904,光緒,30,,第2甲第47名,,,,,,
清,唐桂馨,唐桂馨,清,1904,光緒,30,,第2甲第65名,,,,,,
清,延昌,延昌,清,1903,光緒,29,,,,,子光,子光,,
中华民国,郭宗熙,郭宗熙,清,1903,光緒,29,,,,,詗伯,诇伯,,
清,陳善同,陈善同,清,1903,光緒,29,,,,,,,,
中华民国,王禮培,王礼培,清,1903,光緒,29,,,,,佩初,佩初,小招隱館/掃塵齋/潛虛/潛虛老人/紫荊精舍/複壁,小招隐馆/扫尘斋/潜虚/潜虚老人/紫荆精舍/复壁
中华民国,甘鵬雲,甘鹏云,清,1903,光緒,29,,第2甲第30名,,,月樵/藥樵,月樵/药樵,崇雅堂/息園/息園居士/樾僑/潛廬/翼父/翼甫/耐公/耐翁/葉樵,崇雅堂/息园/息园居士/樾侨/潜庐/翼父/翼甫/耐公/耐翁/叶樵
中华民国,祝廷華,祝廷华,清,1903,光緒,29,,第2甲第77名,,,,,,
中华民国,溫肅,温肃,清,1903,光緒,29,,第2甲第125名,,,,,,
清,黎湛枝,黎湛枝,清,1903,光緒,29,,第2甲第1名,,,,,,
清,龐毓同,庞毓同,清,1903,光緒,29,,第2甲第87名,,,,,,
清,廖振榘,廖振矩,清,1903,光緒,29,,第2甲第102名,,,,,,
清,廖毓英,廖毓英,清,1903,光緒,29,,第3甲第86名,,,,,,
清,方履中,方履中,清,1903,光緒,29,,第2甲第112名,,,,,,
清,商衍瀛,商衍瀛,清,1903,光緒,29,,第2甲第18名,,,,,,
清,高廷梅,高廷梅,清,1903,光緒,29,,第3甲第112名,,,,,,
清,章鈺,章钰,清,1903,光緒,29,,第2甲第14名,,,,,,
清,衷冀保,衷冀保,清,1903,光緒,29,,第2甲第24名,衷翼保,衷翼保,,,,
清,龔慶雲,龚庆云,清,1903,光緒,29,,第2甲第127名,,,,,,
清,龔元凱,龚元凯,清,1903,光緒,29,,第2甲第86名,,,,,,
清,端緒,端绪,清,1903,光緒,29,,第2甲第11名,,,,,,
清,謝慕韓,谢慕韩,清,1903,光緒,29,,第3甲第71名,,,,,,
清,郭立山,郭立山,清,1903,光緒,29,,第2甲第32名,,,,,,
清,郭家聲,郭家声,清,1903,光緒,29,,第2甲第90名,,,,,,
清,郭則澐,郭则沄,清,1903,光緒,29,,第2甲第31名,,,,,,
清,郭毓璋,郭毓璋,清,1903,光緒,29,,第3甲第67名,,,,,,
清,郭銘鼎,郭铭鼎,清,1903,光緒,29,,第2甲第39名,,,,,,
清,施汝欽,施汝钦,清,1903,光緒,29,,第3甲第94名,,,,,,
清,許宗傑,许宗杰,清,1903,光緒,29,,第3甲第18名,,,,,,
清,許岳鍾,许岳钟,清,1903,光緒,29,,第2甲第13名,,,,,,
清,談道隆,谈道隆,清,1903,光緒,29,,第2甲第69名,,,,,,
清,王丕煦,王丕煦,清,1903,光緒,29,,第3甲第14名,,,,,,
清,王震昌,王震昌,清,1903,光緒,29,,第2甲第73名,,,,,,
清,王廷綸,王廷纶,清,1903,光緒,29,,第3甲第174名,,,,,,
清,王廷槐,王廷槐,清,1903,光緒,29,,第3甲第161名,,,,,,
清,王允獻,王允献,清,1903,光緒,29,,第3甲第119名,,,,,,
清,王紹曾,王绍曾,清,1903,光緒,29,,第2甲第135名,,,,,,
清,王永和,王永和,清,1903,光緒,29,,第3甲第168名,,,,,,
清,王宗基,王宗基,清,1903,光緒,29,,第2甲第67名,,,,,,
清,王汝榆,王汝榆,清,1903,光緒,29,,第3甲第60名,,,,,,
清,王鴻翔,王鸿翔,清,1903,光緒,29,,第2甲第48名,,,,,,
清,王大鈞,王大钧,清,1903,光緒,29,,第2甲第10名,,,,,,
清,王壽彭,王寿彭,清,1903,光緒,29,,第1甲第1名,,,,,,
清,王䵺,王䵺,清,1903,光緒,29,,第2甲第65名,,,,,,
清,王彭,王彭,清,1903,光緒,29,,第2甲第128名,,,,,,
清,王蔭楠,王荫楠,清,1903,光緒,29,,第3甲第5名,,,,,,
清,王世澂,王世澂,清,1903,光緒,29,,第2甲第118名,,,,,,
清,王聲溢,王声溢,清,1903,光緒,29,,第3甲第165名,,,,,,
清,王揚濱,王扬滨,清,1903,光緒,29,,第3甲第10名,,,,,,
清,王景峨,王景峨,清,1903,光緒,29,,第3甲第91名,,,,,,
清,王益霖,王益霖,清,1903,光緒,29,,第3甲第158名,,,,,,
清,王鍾仁,王钟仁,清,1903,光緒,29,,第3甲第149名,,,,,,
清,聶夢麟,聂梦麟,清,1903,光緒,29,,第3甲第47名,,,,,,
清,丁樹齊,丁树齐,清,1903,光緒,29,,第3甲第129名,,,,,,
清,丁毓驥,丁毓骥,清,1903,光緒,29,,第3甲第27名,,,,,,
清,丁惟彬,丁惟彬,清,1903,光緒,29,,第3甲第152名,,,,,,
清,夏瑞庚,夏瑞庚,清,1903,光緒,29,,第3甲第170名,,,,,,
清,夏之霖,夏之霖,清,1903,光緒,29,,第2甲第25名,,,,,,
清,夏啓瑞,夏启瑞,清,1903,光緒,29,,第2甲第21名,,,,,,
清,夏壽康,夏寿康,清,1903,光緒,29,,第2甲第72名,,,,,,
清,于文鐄,于文𨱑,清,1903,光緒,29,,第3甲第130名,,,,,,
清,于君彥,于君彦,清,1903,光緒,29,,第2甲第119名,,,,,,
清,覃壽彭,覃寿彭,清,1903,光緒,29,,第3甲第160名,,,,,,
清,石金聲,石金声,清,1903,光緒,29,,第3甲第147名,,,,,,
清,班吉本,班吉本,清,1903,光緒,29,,第3甲第109名,,,,,,
清,張文源,张文源,清,1903,光緒,29,,第3甲第114名,,,,,,
